No,InputData,Kernel,Data,DataID,DRAMFrequency,SMFrequency,ElapsedCycles,MemoryPercentage,SOLDRAM,Duration,SOLL1/TEXCache,SOLL2Cache,SMActiveCycles,SMPercentage,BlockSize,GridSize,RegistersPerThread,SharedMemoryConfigurationSize,DriverSharedMemoryPerBlock,DynamicSharedMemoryPerBlock,StaticSharedMemoryPerBlock,Threads,WavesPerSM,BlockLimitSM,BlockLimitRegisters,BlockLimitSharedMem,BlockLimitWarps,TheoreticalActiveWarpsperSM,TheoreticalOccupancy,AchievedOccupancy,AchievedActiveWarpsPerSM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
12,768,needle_cuda_shared_2,input_itemsets,1,624995084.6623403,934829634.0078725,10458.297872340423,2.1638297872340417,1.0289361702127655,11186.382978723403,10.72127659574468,0.6819148936170214,2119.0089361702126,0.7461702127659574,16.0,24.0,32.0,98304.0,0.0,0.0,2180.0,384.0,0.00936170212765958,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000012,1.0,11,0x200060400000,0x200060641804,2365444,9,66,2368.0,0.0,0.0,4
13,1024,needle_cuda_shared_1,referrence,0,617796239.7723438,923766998.0685931,10389.484375,2.9421875,1.4006249999999998,11245.5,10.806562500000005,0.8039062500000002,2834.75140625,1.0170312500000005,16.0,32.5,32.0,98304.0,0.0,0.0,2180.0,520.0,0.012343750000000007,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000014,1.0,11,0x200060000000,0x200060402004,4202500,13,28,4160.0,0.0,0.0,0
14,1024,needle_cuda_shared_1,input_itemsets,1,617796239.7723438,923766998.0685931,10389.484375,2.9421875,1.4006249999999998,11245.5,10.806562500000005,0.8039062500000002,2834.75140625,1.0170312500000005,16.0,32.5,32.0,98304.0,0.0,0.0,2180.0,520.0,0.012343750000000007,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000014,1.0,11,0x200060600000,0x200060a02004,4202500,13,12,4160.0,0.0,0.0,0
15,1024,needle_cuda_shared_2,referrence,0,619171539.3825,925600700.2711114,10413.333333333334,4.121666666666666,1.9627777777777784,11249.777777777776,10.837777777777779,1.0691666666666662,3960.183888888888,1.4266666666666663,16.0,45.5,32.0,98304.0,0.0,0.0,2180.0,728.0,0.01694444444444445,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000007,1.0,11,0x200060000000,0x200060402004,4202500,13,28,4160.0,0.0,0.0,0
16,1024,needle_cuda_shared_2,input_itemsets,1,619171539.3825,925600700.2711114,10413.333333333334,4.121666666666666,1.9627777777777784,11249.777777777776,10.837777777777779,1.0691666666666662,3960.183888888888,1.4266666666666663,16.0,45.5,32.0,98304.0,0.0,0.0,2180.0,728.0,0.01694444444444445,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000007,1.0,11,0x200060600000,0x200060a02004,4202500,13,12,4160.0,0.0,0.0,6
17,1280,needle_cuda_shared_1,referrence,0,623388277.7888749,932227563.766375,10556.1,3.6118749999999986,1.7103750000000002,11320.8,10.648625,1.0185000000000002,3628.682625,1.2423750000000002,16.0,40.5,32.0,98304.0,0.0,0.0,2180.0,648.0,0.01587500000000001,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000016,1.0,11,0x200060000000,0x200060642804,6563844,21,129,6464.0,0.0,0.0,0
18,1280,needle_cuda_shared_1,input_itemsets,1,623388277.7888749,932227563.766375,10556.1,3.6118749999999986,1.7103750000000002,11320.8,10.648625,1.0185000000000002,3628.682625,1.2423750000000002,16.0,40.5,32.0,98304.0,0.0,0.0,2180.0,648.0,0.01587500000000001,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000016,1.0,11,0x200060800000,0x200060e42804,6563844,21,144,6464.0,0.0,0.0,0
19,1280,needle_cuda_shared_2,referrence,0,633877192.6800001,947551689.3715,10746.95,6.1265,2.9045,11339.2,10.5095,1.584,6265.918000000001,2.1094999999999997,16.0,69.5,32.0,98304.0,0.0,0.0,2180.0,1112.0,0.028000000000000014,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999996,1.0,11,0x200060000000,0x200060642804,6563844,21,129,6464.0,0.0,0.0,3
20,1280,needle_cuda_shared_2,input_itemsets,1,633877192.6800001,947551689.3715,10746.95,6.1265,2.9045,11339.2,10.5095,1.584,6265.918000000001,2.1094999999999997,16.0,69.5,32.0,98304.0,0.0,0.0,2180.0,1112.0,0.028000000000000014,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999996,1.0,11,0x200060800000,0x200060e42804,6563844,21,144,6464.0,0.0,0.0,5
21,1536,needle_cuda_shared_1,referrence,0,623793900.6035415,932515609.8342711,10561.510416666666,4.3038541666666665,2.0405208333333342,11322.0,10.807083333333333,1.1663541666666664,4224.474375,1.4828125000000003,16.0,48.5,32.0,98304.0,0.0,0.0,2180.0,776.0,0.018958333333333348,32.0,64.0,42.0,64.0,32.0,50.0,1.5883333333333345,1.0177083333333334,11,0x200060000000,0x200060903004,9449476,29,220,9280.0,0.0,0.0,0
